노드번호	갈수있는 노드	epsg3857	placeCode
210	"215,216,481,214,480"	"14096515.503920931,4491417.405096518"	-
211	"212,213,214,450,480"	"14096498.627886128,4491395.846839143"	"ISC,FOODGON,FACMEDIC"
212	"214,481,480,450"	"14096483.699942414,4491374.9329904"	"ISC,FACJOB,CAFEGZ"
213	"214,480,225,226,227,323,481,0"	"14096494.453405228,4491361.793567538"	-
214	"450,481,480,225,226,227,0"	"14096505.195736084,4491378.519019108"	-
215	216	"14096542.677008633,4491420.710980056"	CAFECDOUT
216	481	"14096550.580692481,4491403.01891206"	-
217	"218,219,220"	"14096589.397798922,4491435.853620898"	"IWL,CONGSWEL"
218	"219,220"	"14096601.342380282,4491450.77215519"	"IWL,FACSLB,FACSBATMWEL,FACSB,FACPOST,FACRCV,FACTEL,FACGLS,FACPHR,FACHAIR,FACCOPY,FACLIB"
219	"220,221"	"14096603.33499917,4491421.859634748"	"FOODSTU0,CAFECDSTU0"
220	"221,482"	"14096619.832547706,4491430.488556936"	-
221	"222,234,235,479,384"	"14096639.536097575,4491426.314174864"	-
222	"223,233"	"14096623.417035308,4491394.670171397"	-
223	"224,231"	"14096605.50572924,4491367.2006201595"	-
224	"225,226,227,230"	"14096597.74676073,4491355.8542176075"	-
225	"226,227,229,480"	"14096569.081991855,4491346.300836321"	-
226	"227,228,480"	"14096569.081991855,4491320.022078637"	-
227	"309,480"	"14096560.120772842,4491308.67572703"	-
228	"229,309,485"	"14096590.577785525,4491305.692058826"	-
229	"230,484"	"14096601.331248332,4491318.229074109"	-
230	"231,239"	"14096617.450310599,4491340.921810208"	-
231	"232,238"	"14096627.602648165,4491352.268196633"	-
232	"233,238"	"14096639.547229525,4491370.184305828"	-
233	"234,237"	"14096648.50844853,4491380.928382836"	-
234	"235,236,479,384"	"14096664.0375175,4491400.637559181"	-
235	"479,384,236"	"14096677.173217412,4491417.95140771"	-
236	"503,237"	"14096692.101161126,4491392.2748124655"	SI
237	"238,489,520"	"14096671.195360754,4491361.807575446"	-
238	239	"14096656.868542295,4491338.512455653"	SI
239	"486,487,488,520"	"14096641.339473326,4491322.389405392"	-
240	"484,485,486,307"	"14096621.635923449,4491286.557380538"	SI
241	"244,245,488,487"	"14096695.08452348,4491234.63057779"	SI
242	243	"14096738.076110829,4491230.442265797"	-
243	"244,246,261"	"14096746.436204586,4491242.390865965"	-
244	"245,488,487,239,486"	"14096725.240973536,4491257.30912558"	SMK8
245	"488,490,491"	"14096736.283867028,4491279.399394909"	SI
246	"260,491"	"14096776.603786591,4491283.867882432"	-
247	"490,491"	"14096767.05257428,4491321.7870677635"	SI
248	"249,255"	"14096818.704818007,4491342.994976195"	-
249	250	"14096828.857155565,4491356.134375548"	-
250	"251,252,255"	"14096841.40286218,4491349.858839478"	-
251	522	"14096852.746318292,4491336.719447974"	"FOODBUN,FOODPAL,CAFEPJS,FACSUR"
252	"458,459,522"	"14096927.697731446,4491276.990054464"	-
253	254	"14096870.067631062,4491301.475702858"	OFBK8
254	"255,256"	"14096841.703424808,4491320.876557464"	OFBK8
255	260	"14096828.567724887,4491329.239247354"	-
256	"257,259"	"14096812.738093298,4491281.164377214"	OFBK8
257	258	"14096839.911181007,4491260.5589276645"	OFBK8
258	259	"14096831.551087242,4491244.435997019"	-
259	260	"14096803.186880987,4491268.921569552"	-
260	261	"14096790.941737,4491280.870213479"	-
261	"262,269"	"14096758.692480523,4491238.4827056825"	-
262	0	"14096787.947242703,4491209.220576834"	SJ
263	"264,460,513"	"14096804.678562168,4491108.89789875"	-
264	"265,461"	"14096795.561495867,4491097.285631623"	-
265	"266,267,513"	"14096772.640812714,4491114.626995459"	-
266	278	"14096762.777905833,4491104.471508319"	"SY1,FOOD27,FACSBATM27"
267	"268,270,510"	"14096739.489868362,4491139.112265507"	-
268	0	"14096733.512011703,4491128.074276295"	"SY1,FACSBATM27"
269	"270,271,510"	"14096716.49126156,4491177.63325779"	-
270	"272,276"	"14096706.038361382,4491164.199921172"	-
271	"272,492"	"14096700.962192599,4491187.186485728"	-
272	273	"14096694.104911964,4491171.3578283265"	-
273	"274,493"	"14096680.969212051,4491180.014560128"	-
274	"275,281"	"14096653.796124343,4491140.59707205"	-
275	276	"14096666.931824256,4491134.321664706"	-
276	0	"14096680.067524176,4491125.356803572"	-
277	"278,279,511,512,280"	"14096732.32089315,4491092.214898976"	SY1
278	"277,279,512,511,280"	"14096734.413699578,4491066.2449419685"	-
279	"512,511"	"14096712.038481932,4491059.395271445"	"SY2,FACCSL28"
280	"511,512,282"	"14096654.708944175,4491100.297255762"	-
281	"282,509,283"	"14096626.934731219,4491097.019488137"	-
282	283	"14096641.862674933,4491084.482736783"	SY2
283	"284,289"	"14096629.617530946,4491071.946000386"	-
284	285	"14096646.638281088,4491061.790554492"	-
285	286	"14096657.091181275,4491043.580814024"	-
286	"287,440"	"14096648.742219467,4491005.662632637"	-
287	288	"14096611.42792615,4490996.109569728"	-
288	0	"14096572.299125139,4491012.820431797"	-
289	290	"14096540.049868654,4491073.724955365"	-
290	"291,293,297"	"14096491.080424655,4491101.207746951"	-
291	"292,293"	"14096463.606774326,4491124.502340645"	-
292	327	"14096415.82844888,4491160.641980877"	-
293	"294,297"	"14096479.425273973,4491144.519203542"	SMK29
294	295	"14096498.828261215,4491170.195193369"	"SY3,CAFEJC,CONGSBIO,CAFEMD"
295	296	"14096506.598361667,4491180.0425754525"	-
296	299	"14096529.596968468,4491162.743126573"	"SY3,CONGSBIO,CAFEJC,CAFEMD"
297	"298,300"	"14096531.088649642,4491103.196820283"	-
298	300	"14096540.339299325,4491114.248790935"	"SY3,CAFEMD"
299	300	"14096552.57331137,4491145.303630015"	-
300	"508,509"	"14096560.933405127,4491139.630547013"	-
301	"320,304"	"14096599.59466428,4491209.486723166"	"IGH,FOODSAL"
302	"303,304,493"	"14096624.819660898,4491223.074202593"	-
303	"492,307"	"14096635.272561077,4491235.31695684"	-
304	306	"14096616.314851794,4491230.694404932"	-
305	"306,311"	"14096575.404938925,4491226.2119323"	-
306	"307,310"	"14096589.887604687,4491246.957392011"	-
307	308	"14096602.878589261,4491261.287331719"	-
308	"309,485"	"14096588.997048754,4491271.302892581"	-
309	310	"14096574.948529016,4491282.355040049"	-
310	"311,312"	"14096553.898013305,4491275.49122086"	-
311	313	"14096538.524791632,4491254.745704815"	-
312	"313,321"	"14096498.071288671,4491316.856305225"	-
313	"314,316"	"14096482.54221971,4491297.889700443"	-
314	"315,324"	"14096469.562367085,4491289.232871529"	-
315	"316,317"	"14096455.680826578,4491298.940286962"	-
316	319	"14096464.78676093,4491311.337215813"	-
317	318	"14096440.597035583,4491307.302959396"	-
318	"319,329"	"14096419.101241913,4491316.856305225"	-
319	322	"14096430.444698017,4491333.133433528"	"FACSTUCT,FACCSLSTU1,IST1"
320	0	"14096579.434704501,4491177.269058656"	"IGH,FOODSAL"
321	"322,323"	"14096464.89808042,4491348.514082236"	-
322	"323,336"	"14096448.923733491,4491360.308729742"	-
323	337	"14096464.89808042,4491364.637172587"	-
324	325	"14096422.952896293,4491281.038307039"	-
325	"326,329"	"14096412.800558727,4491270.280324388"	-
326	"441,327"	"14096374.874008212,4491217.737262702"	-
327	328	"14096358.454383325,4491195.493038489"	-
328	350	"14096271.124242794,4491244.155842055"	-
329	330	"14096392.017209794,4491282.845313018"	-
330	331	"14096380.072628435,4491290.913808623"	-
331	332	"14096370.521416124,4491298.379974138"	"FOODMOM,CAFEHY,IST1"
332	"333,334"	"14096351.118428882,4491312.1216547415"	-
333	334	"14096329.322072584,4491295.998644972"	"CONEMSTU3,IST3"
334	347	"14096336.479915839,4491323.46801007"	-
335	336	"14096391.761174973,4491366.2620901"	IST1
336	"337,338,339"	"14096407.590806562,4491388.954929933"	-
337	"338,449"	"14096429.086600233,4491392.246796573"	-
338	340	"14096413.858093891,4491403.2850633"	-
339	"340,342,344,345,346"	"14096368.484269444,4491420.907091824"	-
340	"341,370"	"14096381.018844109,4491435.531436823"	-
341	"342,369,367"	"14096365.20034447,4491448.376783466"	-
342	"343,344,345"	"14096354.446881656,4491431.357052745"	-
343	"355,354,365"	"14096335.288797293,4491443.333897417"	-
344	"345,346,347"	"14096333.195990864,4491371.066804569"	IST1
345	"346,354,355,347,348"	"14096323.945341174,4491378.519019108"	SMKSTU2
346	"354,355,347,348"	"14096313.793003615,4491386.573580243"	-
347	348	"14096306.034035105,4491352.534346586"	-
348	"349,352"	"14096280.352628585,4491343.877472654"	-
349	517	"14096256.452333909,4491299.8788110055"	-
350	518	"14096216.444108915,4491307.134865411"	-
351	"518,358"	"14096192.855508815,4491374.316641839"	-
352	"353,518"	"14096256.19629908,4491350.867407523"	-
353	356	"14096243.650592465,4491362.213804688"	IST2
354	355	"14096299.32146981,4491399.671010224"	"FOODSTU2,CAFEJJCF,IST2"
355	0	"14096296.93923271,4491412.964568155"	CONCUSTU2
356	357	"14096266.938629944,4491398.340254562"	-
357	365	"14096248.726761248,4491417.447120458"	-
358	359	"14096145.867551755,4491411.941986177"	-
359	"360,437"	"14096126.464564506,4491442.255280437"	-
360	519	"14096173.463653523,4491504.086827369"	ZB
361	"362,519,465"	"14096192.543814246,4491550.873966973"	-
362	"366,466,432"	"14096209.564564388,4491574.309639465"	-
