순번	대학(원)	학과(부)	학년	이수구분	학수번호	교과목명	교과목명(영문)	담당교수	강의실	시간표	수업방법관리	Teaching Method	학점
1357	사범대학	유아교육과	4	전공선택	0007802003	진로설계세미나 I	Career - Design Seminar I	김상림	미추홀타워  별관A동-103 활동실[NC103]	 [NC103:수(4)]	온라인(동영상+화상)+오프라인	online + offline class	1
1358	사범대학	유아교육과	4	전공선택	0007849001	현장밀착유아교육세미나	Seminar for Early Childhood Education	안동근	"미추홀타워  별관A동-207 강의실[NC207], 미추홀타워  별관A동-208 강의실[NC208]"	 [NC207:목(7-8A)] [NC208:화(7-8A)]	온라인(동영상+화상)+오프라인	online + offline class	3
1359	사범대학	역사교육과	전학년	전공선택	0009062031	RISE	RISE	채준형	-	-	오프라인	offline class	3
1360	사범대학	역사교육과	전학년	전공선택	0009062032	RISE	RISE	김성자	-	-	오프라인	offline class	3
1361	사범대학	역사교육과	1	전공기초	0007800015	자기설계세미나 I	Self - Design Seminar I	이형우	미추홀타워  별관A동-206 강의실[NC206]	 [NC206:월(4)]	오프라인	offline class	1
1362	사범대학	역사교육과	1	전공필수	0010105001	서양사개론및지도법	Introduction to the Western History and Teaching Methodologies	김정욱	미추홀타워  별관A동-206 강의실[NC206]	" [NC206:월(7-8A),수(4-5A)]"	오프라인	offline class	3
1363	사범대학	역사교육과	1	전공필수	0010106001	한국사개론및지도법	Introduction to Korean History	이형우	미추홀타워  별관A동-206 강의실[NC206]	" [NC206:월(5B-6),목(4-5A)]"	오프라인	offline class	3
1364	사범대학	역사교육과	2	전공필수	0003587001	서양사사료강독	Readings in Western History for Teaching	김정욱	"미추홀타워  별관A동-206 강의실[NC206], 미추홀타워  별관A동-207 강의실[NC207]"	 [NC206:금(4)(5)] [NC207:월(3)]	오프라인	offline class	3
1365	사범대학	역사교육과	2	전공필수	0003715001	역사논리및논술에관한교육	Logic and Logical Writing of History Subject	김성자	"미추홀타워  별관A동-206 강의실[NC206], 미추홀타워  별관A동-307 수업행동분석실[NC307]"	 [NC206:화(7-8A)] [NC307:목(4-5A)]	오프라인	offline class	3
1366	사범대학	역사교육과	2	전공선택	0003585001	한국고대사	Ancient History of Korea	장병진	미추홀타워  별관A동-208 강의실[NC208]	 [NC208:목(1-2A)(2B-3)]	오프라인	offline class	3
1367	사범대학	역사교육과	2	전공선택	0003586001	서양고대사	Ancient History of the West	고경주	미추홀타워  별관A동-206 강의실[NC206]	 [NC206:금(1-2A)(2B-3)]	오프라인	offline class	3
1368	사범대학	역사교육과	2	전공선택	0004196001	동아시아고대사	Ancient History of East Asia	채준형	"미추홀타워  별관A동-206 강의실[NC206], 미추홀타워  별관A동-208 강의실[NC208]"	 [NC206:수(7-8A)] [NC208:월(5B-6)]	오프라인	offline class	3
1369	사범대학	역사교육과	2	전공선택	0010107001	지역사의이해와역사교육	Understanding of Regional History Education	이형우	미추홀타워  별관A동-316 PC실습실[NC316]	 [NC316:목(7)(8)]	오프라인	offline class	2
1370	사범대학	역사교육과	2	전공선택	0010496001	한국고중세사지도법	The Method of Teaching of Ancient and Medieval History in Korea	신유아	미추홀타워  별관A동-206 강의실[NC206]	" [NC206:화(2B-3),목(5B-6)]"	오프라인	offline class	3
1371	사범대학	역사교육과	3	전공필수	0003707001	동양사사료강독	Readings in Asian History for Teaching	채준형	미추홀타워  별관A동-206 강의실[NC206]	" [NC206:화(1-2A),목(1-2A)]"	오프라인	offline class	3
1372	사범대학	역사교육과	3	전공필수	0003708001	역사교육론	Theory of History education	김성자	미추홀타워  별관A동-307 수업행동분석실[NC307]	" [NC307:월(5B-6),수(7-8A)]"	오프라인	offline class	3
1373	사범대학	역사교육과	3	전공선택	0003588001	한국중세사	Medieval History of Korea	이형우	미추홀타워  별관A동-206 강의실[NC206]	" [NC206:월(2B-3),목(2B-3)]"	오프라인	offline class	3
1374	사범대학	역사교육과	3	전공선택	0005869001	서양 근현대사 연습	Proseminar in the Modern & Contemporary History of the West	김헌기	미추홀타워  별관A동-206 강의실[NC206]	 [NC206:금(7-8A)(8B-9)]	오프라인	offline class	3
1375	사범대학	역사교육과	4	전공선택	0003710001	한국사회경제사	Socio－Economic History of Korea	문용식	미추홀타워  별관A동-206 강의실[NC206]	 [NC206:수(1-2A)(2B-3)]	오프라인	offline class	3
1376	사범대학	역사교육과	4	전공선택	0003713001	동양사특강	Topics in East Asian History	채준형	"미추홀타워  별관A동-206 강의실[NC206], 미추홀타워  별관A동-307 수업행동분석실[NC307]"	 [NC206:화(5B-6)] [NC307:목(5B-6)]	오프라인	offline class	3
1377	사범대학	역사교육과	4	전공선택	0003716001	한국현대사	Contemporary History of Korea	최진욱	미추홀타워  별관A동-207 강의실[NC207]	 [NC207:금(2B-3)(4-5A)]	오프라인	offline class	3
1378	사범대학	역사교육과	4	전공선택	0006757001	역사교육특강	History education special lecture	김성자	"미추홀타워  별관A동-206 강의실[NC206], 미추홀타워  별관A동-307 수업행동분석실[NC307]"	 [NC206:목(7-8A)] [NC307:화(2B-3)]	오프라인	offline class	3
1379	사범대학	역사교육과	4	전공선택	0007802005	진로설계세미나 I	Career - Design Seminar I	채준형	미추홀타워  별관A동-306 강의실[NC306]	 [NC306:목(3)(4)]	오프라인	offline class	2
1380	사범대학	윤리교육과	1	전공필수	0003162001	윤리학개론	Introduction to Ethics	이두연	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:화(6)(7)(8)]	오프라인	offline class	3
1381	사범대학	윤리교육과	1	전공필수	0004965001	동양문화와윤리	Orient Culture and Ethics	김윤경	미추홀타워  별관A동-305 강의실-1[NC305]	" [NC305:월(4-5A),금(2B-3)]"	오프라인	offline class	3
1382	사범대학	윤리교육과	1	전공선택	0007800016	자기설계세미나 I	Self - Design Seminar I	김혜진	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:월(3)]	오프라인	offline class	1
1383	사범대학	윤리교육과	1	전공선택	0010498001	정치철학고전세미나	The Great Books Seminar in Political Philosophy	이상원	"미추홀타워  별관A동-208 강의실[NC208], 미추홀타워  별관A동-305 강의실-1[NC305]"	 [NC208:수(7-8A)] [NC305:금(4-5A)]	오프라인	offline class	3
1384	사범대학	윤리교육과	2	전공필수	CGA6027001	동양윤리사상	ORIENTAL ETHICAL THOUGHT	이선경	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:수(4-5A)(5B-6)]	오프라인	offline class	3
1385	사범대학	윤리교육과	2	전공필수	CGA6114001	도덕윤리교육론	THEORY OF MORAL AND ETHICS EDUCATION	김혜진	미추홀타워  별관A동-305 강의실-1[NC305]	" [NC305:월(5B-6),목(2B-3)]"	오프라인	offline class	3
1386	사범대학	윤리교육과	2	전공선택	0010109001	사회윤리	Social Ethics	이상원	"미추홀타워  별관A동-208 강의실[NC208], 미추홀타워  별관A동-305 강의실-1[NC305]"	 [NC208:수(8B-9)] [NC305:금(5B-6)]	오프라인	offline class	3
1387	사범대학	윤리교육과	3	전공필수	0003724001	시민교육론	Citizenship Education	윤세원	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:수(7-8A)(8B-9)]	오프라인	offline class	3
1388	사범대학	윤리교육과	3	전공필수	0006776001	서양고전과윤리	Western Classics and Ethics	이두연	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:화(2)(3)(4)]	오프라인	offline class	3
1389	사범대학	윤리교육과	3	전공선택	0004966001	윤리교육현장세미나	Teachers’ Ethics Education Seminar	이혜진	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:월(야1-2A)(야2B-3)]	오프라인	offline class	3
1390	사범대학	윤리교육과	3	전공선택	0010110001	동양도덕교육론	East Asian Moral and Ethics Education Theory	김윤경	"미추홀타워  별관A동-305 강의실-1[NC305], 미추홀타워  별관A동-307 수업행동분석실[NC307]"	 [NC305:월(8B-9)] [NC307:화(5B-6)]	오프라인	offline class	3
1391	사범대학	윤리교육과	4	전공필수	0003726001	도덕윤리교재연구및지도법	Teaching Materials on Moral and Ethical Education	김혜진	미추홀타워  별관A동-305 강의실-1[NC305]	" [NC305:월(7-8A),목(7-8A)]"	오프라인	offline class	3
1392	사범대학	윤리교육과	4	전공선택	0006702001	동양고전과윤리	Eastern Classics and Ethics	김윤경	미추홀타워  별관A동-305 강의실-1[NC305]	" [NC305:목(8B-9),금(8B-9)]"	오프라인	offline class	3
1393	사범대학	윤리교육과	4	전공선택	0007802006	진로설계세미나 I	Career - Design Seminar I	김혜진	미추홀타워  별관A동-305 강의실-1[NC305]	 [NC305:목(6)]	오프라인	offline class	1
1394	도시과학대학	도시행정학과	1	전공선택	0001108001	도시의이해	UNDERSTANDING OF CITIES	서종국	제28호관 도시과학대학-405 강의실[SY2405]	" [SY2405:월(2B-3),수(2B-3)]"	오프라인	offline class	3
1395	도시과학대학	도시행정학과	1	전공선택	0006820001	도시행정통계론	INTRODUCTION TO STATISTICS	박주문	제28호관 도시과학대학-406 강의실[SY2406]	 [SY2406:수(4-5A)(5B-6)]	오프라인	offline class	3
1396	도시과학대학	도시행정학과	1	전공선택	0007800063	자기설계세미나 I	Self - Design Seminar I	김현우	제28호관 도시과학대학-405 강의실[SY2405]	 [SY2405:수(7)]	오프라인	offline class	1
1397	도시과학대학	도시행정학과	2	전공필수	0001585001	도시학개론	Introduction to Urban Studies	이동우	제28호관 도시과학대학-406 강의실[SY2406]	" [SY2406:화(2B-3),수(2B-3)]"	오프라인	offline class	3
1398	도시과학대학	도시행정학과	2	전공필수	0001586001	도시행정학	Urban Administration	한형근	제28호관 도시과학대학-406 강의실[SY2406]	 [SY2406:목(7-8A)(8B-9)]	오프라인	offline class	3
1399	도시과학대학	도시행정학과	2	전공필수	0001587001	공공인적자원관리론	Public Human Resource Management	이창길	제28호관 도시과학대학-406 강의실[SY2406]	" [SY2406:월(8B-9),화(4-5A)]"	오프라인	offline class	3
1400	도시과학대학	도시행정학과	2	전공선택	0001588001	경제학원론	Introduction to Economics	박인옥	제28호관 도시과학대학-406 강의실[SY2406]	 [SY2406:수(7-8A)(8B-9)]	오프라인	offline class	3
1401	도시과학대학	도시행정학과	2	전공선택	0001590001	도시거버넌스의이해	Introduction to Urban Governance and Politics	신종화	제28호관 도시과학대학-406 강의실[SY2406]	" [SY2406:화(5B-6),목(5B-6)]"	오프라인	offline class	3
1402	도시과학대학	도시행정학과	2	전공선택	0008787001	도시환경정책론	Urban Environment Policy	김현우	제28호관 도시과학대학-405 강의실[SY2405]	" [SY2405:화(8B-9),목(4-5A)]"	오프라인	offline class	3
1403	도시과학대학	도시행정학과	3	전공필수	0001597001	정부예산론	Theories of Government Budgeting	한형근	제28호관 도시과학대학-406 강의실[SY2406]	 [SY2406:목(1-2A)(2B-3)]	오프라인	offline class	3
1404	도시과학대학	도시행정학과	3	전공필수	0006851001	계량분석방법론	Quantitative research methods for public administration	김현우	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	" [SY2418:월(4-5A),수(4-5A)]"	오프라인	offline class	3
1405	도시과학대학	도시행정학과	3	전공선택	0006847001	미래도시위기관리	Creative City Crisis Management	이창길	제28호관 도시과학대학-406 강의실[SY2406]	" [SY2406:월(2B-3),화(8B-9)]"	오프라인	offline class	3
1406	도시과학대학	도시행정학과	3	전공선택	0010507001	도시교통계획론	Urban Transport Planning	이동우	제28호관 도시과학대학-405 강의실[SY2405]	" [SY2405:월(7-8A),화(4-5A)]"	오프라인	offline class	3
1407	도시과학대학	도시행정학과	4	전공선택	0001615001	도시정부혁신론	Urban Government Innovation	이창길	제28호관 도시과학대학-405 강의실[SY2405]	" [SY2405:월(5B-6),수(4-5A)]"	오프라인	offline class	3
1408	도시과학대학	도시행정학과	4	전공선택	0010504001	토지이용계획및실습	Land Use Planning and Practices	공미진	제28호관 도시과학대학-406 강의실[SY2406]	 [SY2406:금(1-2A)(2B-3)]	오프라인	offline class	3
1409	도시과학대학	도시행정학과	4	전공선택	0010505001	도시데이터사이언스	 Data Science for Urban Scientists	이동우	제28호관 도시과학대학-418 강의실(교수협업강의실)[SY2418]	" [SY2418:수(5B-6),목(4-5A)]"	오프라인	offline class	3
1410	도시과학대학	도시건축학부	1	교양필수	XAA1358018	대학수학(1)	CALCULUS(1)	이미혜	제5호관 자연과학대학·생명과학기술대학-309 강의실(중)-1[SF309]	 [SF309:목(1-2A)(2B-3)]	오프라인	offline class	3
1411	도시과학대학	도시건축학부	1	교양필수	XAA1358019	대학수학(1)	CALCULUS(1)	이선영	제5호관 자연과학대학·생명과학기술대학-104A 응용수학실습실[SF104A]	 [SF104A:목(1-2A)(2B-3)]	오프라인	offline class	3
1412	도시과학대학	도시건축학부	1	전공기초	0007800032	자기설계세미나 I	Self - Design Seminar I	천성철	제28호관 도시과학대학-607 강의실[SY2607]	 [SY2607:수(3)]	오프라인	offline class	1
1413	도시과학대학	도시건축학부	1	전공기초	0007800033	자기설계세미나 I	Self - Design Seminar I	김태완	제28호관 도시과학대학-404A 강의실[SY2404A]	 [SY2404A:수(3)]	오프라인	offline class	1
